source,segment,flag,start,end,duration,axis,input_axis,slope,intercept,r2,n,mean_k_ctrl
target,OFF,0,19.614400000000003,35.877399999999994,16.26299999999999,x,u_x,0.6658424291344299,0.23112415550259122,0.9391979236980409,4165,
target,OFF,0,19.614400000000003,35.877399999999994,16.26299999999999,y,u_y,0.9143530731187535,0.17000205903771662,0.797995642419935,4165,
target,OFF,0,19.614400000000003,35.877399999999994,16.26299999999999,z,u_z,0.9746045850300541,0.43289314258334105,0.9958281809538239,4165,
target,ON,1,10.502399999999994,19.614400000000003,9.112000000000009,x,u_x,0.9987245922477775,0.2530810268297885,0.9944162342596282,2341,
target,ON,1,10.502399999999994,19.614400000000003,9.112000000000009,y,u_y,0.9932306712229181,0.15519800941061498,0.9843471510287866,2341,
target,ON,1,10.502399999999994,19.614400000000003,9.112000000000009,z,u_z,0.9979229689310938,0.42931778162382367,0.9945709146266639,2341,
current,OFF,0,19.614400000000003,35.877399999999994,16.26299999999999,x,u_x,0.6372877479985165,0.22982473210838572,0.9073328678255526,4165,
current,OFF,0,19.614400000000003,35.877399999999994,16.26299999999999,y,u_y,0.22528404774314217,0.17221241639016013,0.16039394797898565,4165,
current,OFF,0,19.614400000000003,35.877399999999994,16.26299999999999,z,u_z,0.8882286858742386,0.4338966852763164,0.9041914531271171,4165,
current,ON,1,10.502399999999994,19.614400000000003,9.112000000000009,x,u_x,0.9496495840900837,0.25110326681306505,0.9063015322777627,2341,
current,ON,1,10.502399999999994,19.614400000000003,9.112000000000009,y,u_y,0.7459166172850931,0.10917056900647282,0.7842840223588756,2341,
current,ON,1,10.502399999999994,19.614400000000003,9.112000000000009,z,u_z,0.8788577012333885,0.4380460624820752,0.8607904088878492,2341,
ee,OFF,0,19.614400000000003,35.877399999999994,16.26299999999999,x,u_x,0.6342732317596569,0.2299546710557769,0.8940925952896783,4447,
ee,OFF,0,19.614400000000003,35.877399999999994,16.26299999999999,y,u_y,0.21072353033345995,0.1728571251984004,0.13225871616064622,4447,
ee,OFF,0,19.614400000000003,35.877399999999994,16.26299999999999,z,u_z,0.8808498594864886,0.43162083521541034,0.8696373934095126,4447,
ee,ON,1,10.502399999999994,19.614400000000003,9.112000000000009,x,u_x,0.9252789352654431,0.2520028986532738,0.8814049074431483,2472,
ee,ON,1,10.502399999999994,19.614400000000003,9.112000000000009,y,u_y,0.6937340905499675,0.09821445145106902,0.7174617251658946,2472,
ee,ON,1,10.502399999999994,19.614400000000003,9.112000000000009,z,u_z,0.8726169000905784,0.4358142607236259,0.8319636679469722,2472,
